level,approach,task_id,metric_name,value,source_path,reproducibility_status,note
approach,Manual,,dev_time_min,291.0,data/source/provided_paper_data.json,RECOMPUTED,Computed value matches the provided source value.
approach,Manual,,loc,730.0,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Manual,,maintainability_index,76.34,data/source/provided_paper_data.json,RECOMPUTED,Computed value matches the provided source value.
approach,Manual,,cc_avg,4.75,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Manual,,code_smells,17.0,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Manual,,eslint_warnings,23.4,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Manual,,coverage_pct,76.5,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Manual,,pass_rate_pct,96.9,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Manual,,bugs_pre_release,1.6,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Manual,,bugs_post_integration,1.8,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Manual,,security_issues,0.6,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Manual,,critical_security,0.0,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Manual,,integration_success,0.951,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Manual,,perf_score,4.29,data/source/provided_paper_data.json,MISSING_RUBRIC_MAPPING,"Rubric threshold mappings were not recovered, so this rubric metric cannot be recomputed."
approach,Manual,,scalability_score,4.15,data/source/provided_paper_data.json,MISSING_RUBRIC_MAPPING,"Rubric threshold mappings were not recovered, so this rubric metric cannot be recomputed."
approach,Manual,,tdi,0.256,data/source/provided_paper_data.json,FORMULA_NOT_RECONSTRUCTABLE,"This metric is preserved from the paper, but the exact formula or normalization needed to recompute it was not recovered."
approach,Manual,,risk_score,0.198,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Manual,,rework_ratio,0.067,data/source/provided_paper_data.json,ROUNDING_DIFFERENCE,The difference is within the configured rounding threshold.
approach,Full-AI,,dev_time_min,54.2,data/source/provided_paper_data.json,RECOMPUTED,Computed value matches the provided source value.
approach,Full-AI,,loc,1146.0,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Full-AI,,maintainability_index,54.22,data/source/provided_paper_data.json,RECOMPUTED,Computed value matches the provided source value.
approach,Full-AI,,cc_avg,9.12,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Full-AI,,code_smells,91.8,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Full-AI,,eslint_warnings,123.8,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Full-AI,,coverage_pct,33.9,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Full-AI,,pass_rate_pct,76.1,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Full-AI,,bugs_pre_release,13.2,data/source/provided_paper_data.json,RECOMPUTED,Computed value matches the provided source value.
approach,Full-AI,,bugs_post_integration,11.4,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Full-AI,,security_issues,9.4,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Full-AI,,critical_security,2.2,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Full-AI,,integration_success,0.675,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Full-AI,,perf_score,2.97,data/source/provided_paper_data.json,MISSING_RUBRIC_MAPPING,"Rubric threshold mappings were not recovered, so this rubric metric cannot be recomputed."
approach,Full-AI,,scalability_score,2.41,data/source/provided_paper_data.json,MISSING_RUBRIC_MAPPING,"Rubric threshold mappings were not recovered, so this rubric metric cannot be recomputed."
approach,Full-AI,,tdi,1.015,data/source/provided_paper_data.json,FORMULA_NOT_RECONSTRUCTABLE,"This metric is preserved from the paper, but the exact formula or normalization needed to recompute it was not recovered."
approach,Full-AI,,risk_score,0.751,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Full-AI,,rework_ratio,0.205,data/source/provided_paper_data.json,ROUNDING_DIFFERENCE,The difference is within the configured rounding threshold.
approach,Hybrid,,dev_time_min,154.2,data/source/provided_paper_data.json,RECOMPUTED,Computed value matches the provided source value.
approach,Hybrid,,loc,828.0,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Hybrid,,maintainability_index,69.58,data/source/provided_paper_data.json,RECOMPUTED,Computed value matches the provided source value.
approach,Hybrid,,cc_avg,5.77,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Hybrid,,code_smells,32.0,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Hybrid,,eslint_warnings,47.0,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Hybrid,,coverage_pct,61.3,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Hybrid,,pass_rate_pct,92.2,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Hybrid,,bugs_pre_release,5.0,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
approach,Hybrid,,bugs_post_integration,1.4,data/source/provided_paper_data.json,INSUFFICIENT_SOURCE_DATA,"The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
