metric_name,level,category,needed_input,reason
loc:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
cc_avg:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
code_smells:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
eslint_warnings:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
coverage_pct:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
pass_rate_pct:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
bugs_pre_release:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
bugs_post_integration:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
security_issues:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
critical_security:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
integration_success:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
perf_score:Manual,approach,MISSING_RUBRIC_MAPPING,Rubric thresholds and source signals for perf_score,"Rubric threshold mappings were not recovered, so this rubric metric cannot be recomputed."
scalability_score:Manual,approach,MISSING_RUBRIC_MAPPING,Rubric thresholds and source signals for scalability_score,"Rubric threshold mappings were not recovered, so this rubric metric cannot be recomputed."
tdi:Manual,approach,FORMULA_NOT_RECONSTRUCTABLE,Exact formula/normalization and supporting inputs for tdi,"This metric is preserved from the paper, but the exact formula or normalization needed to recompute it was not recovered."
risk_score:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
loc:Full-AI,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
cc_avg:Full-AI,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
code_smells:Full-AI,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
